Height,Weight,Gender
163,48,Female
163,58,Female
176,67,Female
172,59,Female
170,59,Female
186,77,Male
177,50,Female
184,90,Male
166,55,Female
174,60,Female
175,60,Female
176,60,Female
168,55,Female
165,55,Female
175,57,Female
177,77,Male
175,65,Female
168,65,Female
181,78,Male
188,90,Male
186,77,Male
186,85,Male
167,70,Female
168,54,Female
167,51,Female
170,56,Female
165,63,Female
163,50,Female
187,80,Male
168,60,Female
183,87,Male
177,80,Female
158,46,Female
170,70,Female
177,67,Male
170,72,Female
173,65,Female
185,101,Male
168,60,Female
155,46,Female
172,62,Female
188,80,Male
170,90,Female
163,55,Female
170,67,Female
181,78,Male
163,55,Female
170,60,Female
171,70,Female
157,41,Female
175,60,Female
160,58,Female
164,51,Female
160,57,Female
165,45,Female
170,64,Female
157,45,Female
185,71,Male
178,74,Male
175,72,Male
165,56,Male
189,81,Male
180,78,Male
180,52,Female
185,84,Male
183,83,Male
160,58,Female
162,50,Female
163,47,Female
185,82,Male
175,83,Male
168,52,Female
177,80,Male
190,80,Male
192,77,Male
188,75,Male
175,60,Female
148,57,Female
173,63,Female
163,48,Female
177,80,Male
163,47,Female
163,53,Female
168,48,Female
159,53,Male
179,65,Male
159,50,Female
164,75,Female
156,50,Female
154,58,Female
168,50,Female
170,63,Female
175,80,Male
179,68,Male
180,75,Male
182,81,Male
200,75,Male
187,70,Male
162,50,Female
172,71,Female
194,90,Male
168,55,Female
185,80,Male
180,70,Male
178,74,Male
182,80,Male
178,55,Female
168,61,Female
176,65,Male
185,70,Male
166,56,Female
163,54,Female
162,60,Female
163,54,Female
175,62,Female
169,61,Female
165,55,Female
175,60,Male
161,54,Female
188,90,Male
180,85,Male
156,56,Female
172,80,Female
176,69,Male
157,54,Female
163,56,Female
177,64,Female
173,49,Female
178,75,Female
168,66,Female
193,103,Male
170,51,Female
170,50,Female
170,59,Female
185,62,Male
185,90,Male
168,50,Female
168,53,Female
175,52,Female
170,65,Female
168,62,Female
180,66,Male
165,78,Female
180,72,Male
185,83,Male
165,55,Male
184,85,Male
177,61,Female
180,100,Male
170,72,Male
170,52,Female
185,81,Male
171,72,Female
177,97,Male
175,60,Male
160,48,Female
190,70,Male
194,79,Male
172,73,Female
190,89,Male
184,71,Male
168,60,Female
161,65,Female
183,98,Male
180,71,Female
157,57,Female
176,64,Male
180,72,Male
191,85,Male
187,75,Male
183,78,Male
163,61,Female
178,80,Male
169,70,Male
160,50,Female
182,75,Male
175,60,Male
180,80,Male
158,47,Female
180,70,Male
174,85,Female
167,55,Female
169,65,Female
183,80,Female
170,55,Female
166,54,Female
158,48,Female
160,67,Female
158,65,Female
169,70,Male
183,78,Male
185,70,Male
169,64,Female
160,47,Female
186,88,Male
186,89,Male
169,55,Male
181,63,Male
163,50,Female
169,51,Female
160,53,Female
184,85,Male
170,62,Female
170,60,Female
184,82,Male
176,55,Female
170,62,Male
168,69,Female
173,55,Female
180,80,Male
163,68,Female
178,60,Female
182,70,Male
192,90,Male
200,90,Male
178,71,Male
153,42,Female
168,51,Female
172,56,Male
176,64,Male
168,68,Female
157,48,Female
173,73,Male
173,63,Female
171,55,Female
168,60,Female
165,48,Female
168,65,Female
174,64,Female
171,57,Female
173,64,Female
157,48,Female
173,59,Female
180,80,Male
180,60,Female
175,63,Female
178,70,Female
160,46,Female
172,60,Female
180,80,Male
165,68,Female
160,55,Female
165,55,Female
176,63,Female
164,60,Female
155,44,Female
167,57,Female
171,59,Female
158,50,Female
170,60,Female
182,65,Male
182,63,Female
175,72,Male
197,96,Male
170,50,Female
165,55,Female
176,53,Female
167,54,Female
170,49,Female
168,72,Female
163,49,Female
152,47,Female
158,57,Female
165,70,Female
177,80,Male
170,55,Female
178,67,Female
170,60,Female
170,70,Female
188,76,Male
180,85,Male
161,53,Female
178,69,Female
178,74,Male
165,50,Female
187,91,Male
178,68,Male
168,55,Female
168,55,Female
180,57,Female
192,80,Male
188,98,Male
173,58,Female
193,85,Male
184,120,Female
167,62,Female
177,63,Female
167,57,Female
190,90,Male
187,83,Male
163,51,Female
173,52,Female
165,65,Female
190,92,Male
178,58,Female
167,76,Female
160,53,Female
169,64,Female
174,63,Female
176,68,Female
178,68,Female
158,50,Female
180,78,Male
167,57,Female
170,75,Male
170,55,Female
180,75,Male
184,68,Male
170,60,Female
180,65,Male
169,48,Female
166,65,Female
178,88,Male
162,55,Female
160,50,Female
178,68,Male
168,65,Female
185,62,Male
175,58,Female
167,55,Female
193,84,Male
160,60,Female
171,52,Female
182,92,Male
165,60,Female
174,65,Female
169,50,Female
185,73,Male
170,60,Male
182,76,Male
165,48,Female
160,50,Female
158,53,Female
186,63,Male
173,68,Female
168,56,Female
172,68,Female
164,60,Female
185,70,Male
175,65,Male
182,75,Male
170,65,Female
187,68,Male
169,63,Female
189,76,Male
166,60,Female
161,59,Female
180,80,Male
185,74,Male
179,96,Male
170,68,Male
184,72,Female
180,62,Female
166,58,Female
167,50,Female
167,50,Female
178,75,Male
175,70,Male
190,85,Male
178,67,Male
179,55,Female
180,78,Male
168,58,Female
164,53,Female
187,56,Male
174,72,Male
176,62,Female
170,60,Female
170,56,Female
158,70,Female
175,53,Female
174,67,Male
170,58,Female
173,58,Female
158,49,Female
185,90,Male
170,58,Female
178,77,Male
166,55,Female
167,64,Female
169,60,Female
168,60,Female
178,65,Male
165,49,Female
160,47,Female
176,75,Male
186,77,Male
172,68,Male
164,50,Female
175,75,Female
165,60,Female
160,65,Female
180,80,Male
170,90,Female
180,95,Male
175,79,Male
167,57,Female
168,60,Female
166,44,Female
164,58,Female
165,50,Female
180,88,Male
173,60,Female
168,54,Female
177,68,Male
167,56,Male
173,69,Female
170,54,Female
180,60,Male
172,60,Female
158,53,Female
165,52,Female
168,55,Female
180,76,Female
163,67,Female
154,60,Female
161,57,Female
160,65,Female
180,77,Male
164,56,Female
162,62,Female
170,53,Female
185,78,Male
184,80,Male
170,56,Female
184,83,Male
173,60,Female
176,62,Male
163,55,Female
180,74,Female
175,70,Male
164,58,Female
155,48,Female
163,58,Female
162,54,Female
170,54,Female
157,43,Female
185,70,Male
163,55,Female
168,49,Female
169,67,Female
178,82,Male
165,65,Male
180,63,Female
156,48,Female
175,58,Female
188,80,Male
181,62,Male
168,52,Female
166,62,Female
189,78,Male
189,96,Male
164,60,Female
172,50,Female
157,46,Female
189,72,Male
161,46,Female
173,60,Female
195,83,Male
167,58,Female
178,74,Male
186,78,Male
170,64,Male
180,80,Male
172,60,Female
175,60,Female
169,53,Female
180,80,Male
175,57,Female
161,55,Female
190,65,Male
189,82,Male
173,73,Female
172,57,Female
165,64,Female
171,57,Female
186,66,Female
177,75,Male
160,49,Female
168,50,Female
165,56,Female
163,68,Female
185,78,Male
165,55,Female
170,52,Female
165,60,Female
170,50,Female
172,58,Female
179,60,Female
193,86,Male
176,60,Female
168,50,Female
177,75,Male
189,83,Male
168,53,Female
179,65,Male
176,70,Male
185,75,Male
168,58,Female
178,74,Male
178,66,Male
187,69,Male
173,80,Male
174,55,Female
171,62,Female
185,74,Male
174,62,Female
157,57,Female
165,57,Female
180,67,Male
171,60,Female
170,65,Female
183,72,Male
172,69,Female
185,85,Male
180,68,Male
172,50,Female
189,68,Male
170,65,Female
184,82,Male
170,58,Female
175,60,Male
168,57,Female
190,82,Male
170,52,Female
194,85,Male
182,78,Male
175,53,Female
186,80,Male
175,75,Male
176,70,Male
178,77,Male
203,80,Male
170,52,Female
166,51,Female
163,49,Female
170,53,Female
178,65,Male
167,63,Female
168,50,Female
170,55,Female
173,55,Female
185,86,Male
170,70,Male
190,85,Male
180,75,Male
165,49,Female
175,76,Female
189,97,Male
172,64,Female
165,48,Female
189,88,Male
170,75,Male
171,56,Female
183,75,Male
178,58,Female
169,65,Female
178,78,Male
160,43,Female
175,75,Female
195,95,Male
171,65,Male
164,55,Female
172,70,Male
190,80,Male
178,65,Female
185,80,Male
189,85,Male
165,65,Female
170,52,Female
173,66,Female
182,88,Male
160,55,Female
170,65,Female
172,52,Female
189,87,Male
168,67,Male
179,60,Male
178,68,Male
170,80,Male
184,84,Male
171,54,Female
164,55,Female
182,71,Male
168,60,Female
170,53,Female
185,65,Male
185,82,Male
168,55,Female
195,95,Male
188,73,Male
183,83,Male
168,57,Female
172,110,Male
162,58,Female
164,64,Female
175,70,Male
178,71,Male
160,55,Female
173,65,Female
175,83,Male
183,75,Male
161,74,Female
175,70,Male
173,62,Female
163,50,Female
162,60,Female
170,60,Female
172,68,Male
163,48,Female
173,60,Female
154,67,Female
178,80,Male
180,67,Male
170,63,Female
173,63,Female
171,93,Male
172,66,Male
156,48,Female
178,70,Male
173,53,Female
175,76,Male
180,89,Male
169,53,Female
165,55,Female
179,77,Male
167,67,Female
158,64,Female
174,56,Female
188,79,Male
171,81,Male
193,75,Male
165,52,Female
178,80,Male
174,70,Female
159,52,Female
176,74,Male
166,55,Female
165,70,Female
162,52,Female
191,77,Male
168,55,Female
173,50,Female
164,60,Female
172,77,Male
186,82,Male
180,77,Male
170,60,Female
165,57,Female
166,60,Female
170,52,Female
173,67,Male
165,75,Female
164,77,Female
162,65,Female
185,70,Female
160,55,Female
180,70,Female
172,75,Male
179,80,Female
165,57,Female
163,53,Female
175,80,Male
170,60,Male
165,48,Female
174,64,Male
182,63,Male
168,70,Female
168,62,Male
171,69,Female
187,73,Male
167,70,Female
168,62,Female
168,76,Female
163,70,Female
170,50,Female
168,65,Female
175,70,Female
185,83,Male
171,60,Female
172,60,Female
188,77,Male
162,51,Female
174,60,Male
167,70,Female
163,52,Female
170,55,Female
168,60,Female
164,63,Female
183,111,Male
173,81,Male
173,54,Female
171,57,Female
185,75,Male
170,75,Female
174,60,Female
161,48,Female
175,58,Female
180,70,Female
176,66,Male
175,65,Male
175,80,Male
180,75,Female
192,90,Male
160,49,Female
163,57,Female
170,63,Female
166,55,Female
168,56,Female
165,67,Female
166,60,Female
180,61,Female
187,85,Male
165,60,Male
182,84,Male
173,65,Female
183,90,Male
186,65,Male
170,60,Male
165,75,Male
177,73,Female
170,75,Female
160,51,Female
175,64,Male
175,86,Female
168,49,Female
162,51,Female
171,49,Female
186,98,Male
172,80,Female
183,84,Male
159,52,Female
197,100,Male
192,91,Male
167,49,Female
192,86,Male
190,84,Male
186,78,Male
172,50,Female
186,76,Male
167,60,Female
179,78,Male
185,92,Male
167,63,Female
170,54,Female
174,64,Male
170,53,Female
168,70,Female
171,62,Female
165,51,Female
168,62,Male
185,65,Male
165,55,Female
167,48,Female
174,64,Male
171,63,Female
170,55,Female
182,70,Male
190,80,Male
187,80,Male
193,83,Male
177,70,Male
158,50,Female
178,80,Male
162,52,Female
192,93,Male
185,120,Male
190,95,Male
173,69,Female
189,113,Male
185,65,Male
160,55,Female
203,89,Male
185,70,Male
173,72,Female
172,60,Female
173,79,Female
173,62,Female
165,53,Female
184,79,Male
187,95,Male
181,73,Male
176,76,Male
180,90,Male
178,66,Male
175,60,Female
181,78,Male
165,53,Female
183,82,Male
180,63,Male
170,70,Male
178,80,Male
160,48,Female
162,55,Female
185,99,Male
175,60,Female
188,81,Male
170,58,Female
170,55,Female
158,55,Female
168,55,Female
184,80,Male
162,50,Female
168,70,Female
170,50,Female
165,57,Female
193,77,Male
179,76,Male
190,76,Male
187,88,Male
183,65,Male
170,58,Female
163,68,Female
169,53,Female
185,65,Male
177,70,Female
184,78,Male
165,56,Female
171,54,Female
170,51,Female
184,60,Male
174,61,Female
175,68,Female
183,67,Male
175,75,Male
175,68,Female
180,75,Male
180,90,Male
156,51,Female
192,80,Male
187,80,Male
190,125,Male
182,88,Male
172,55,Female
187,80,Male
195,82,Male
185,85,Male
182,79,Female
185,90,Male
172,56,Female
187,85,Male
170,54,Female
168,63,Female
180,73,Male
182,73,Male
179,74,Male
162,54,Female
182,72,Male
189,89,Male
182,76,Male
185,87,Male
162,54,Female
170,54,Female
168,54,Female
168,57,Female
175,58,Female
187,85,Male
180,75,Male
175,58,Female
180,57,Male
178,75,Male
181,70,Male
165,58,Female
158,45,Female
162,65,Male
174,83,Male
183,85,Male
172,54,Female
183,69,Male
176,80,Male
173,50,Female
188,75,Male
160,55,Female
170,63,Male
164,52,Female
167,50,Female
184,81,Male
166,58,Female
165,48,Female
174,69,Female
162,55,Female
164,52,Female
171,57,Female
170,65,Female
175,55,Male
185,80,Male
159,52,Female
165,50,Female
165,54,Female
185,84,Male
175,67,Female
163,59,Female
155,50,Female
170,63,Female
183,70,Male
163,56,Female
153,44,Female
173,58,Female
165,45,Female
178,80,Male
155,45,Female
170,50,Female
164,60,Female
171,66,Female
167,62,Female
166,63,Female
172,59,Male
172,55,Female
175,71,Male
182,83,Female
162,47,Female
180,70,Male
193,100,Male
180,55,Female
170,75,Female
164,56,Female
190,85,Male
186,76,Male
179,60,Male
165,57,Female
175,62,Female
166,51,Female
178,83,Male
175,65,Male
169,59,Female
176,48,Female
172,75,Male
167,56,Female
185,92,Male
170,65,Female
170,55,Female
187,71,Male
184,75,Male
180,70,Male
187,82,Male
177,60,Male
178,88,Female
175,120,Female
183,73,Female
175,85,Female
172,62,Female
183,83,Male
165,60,Female
194,90,Male
166,53,Female
168,57,Female
178,70,Male
172,60,Female
165,55,Female
167,53,Female
161,60,Female
184,80,Male
183,70,Male
168,54,Female
180,93,Male
172,80,Male
200,150,Male
173,55,Female
176,78,Female
163,53,Female
190,74,Male
167,53,Female
192,105,Male
181,70,Male
153,62,Female
160,63,Female
181,72,Male
172,63,Female
175,60,Male
164,57,Female
183,80,Male
173,75,Female
173,58,Female
185,72,Male
